Nome,Categoria,Bio
Jeremiah Van Rensselaer,MASSONE,È un **Massone**. Precisamente: **Rappresentante di New York al primo Congresso degli Stati Uniti.**
Killian K. Van Rensselaer,MASSONE,È un **Massone**. Precisamente: **Congressman per New York.**
Stephen Van Rensselaer,MASSONE,È un **Massone**. Precisamente: **Luogotenente Governatore di New York, Congressman, fondatore del Rensselaer Polytechnic Institute. Gran Maestro.**
Samuel Rinnah Van Sant,MASSONE,È un **Massone**. Precisamente: **Congressman e 15° governatore del Minnesota.**
Abraham Van Vechten,MASSONE,È un **Massone**. Precisamente: **Avvocato e politico Federalista.**
Murray Van Wagoner,MASSONE,È un **Massone**. Precisamente: **38° governatore del Michigan.**
Charles C. Van Zandt,MASSONE,È un **Massone**. Precisamente: **34° governatore del Rhode Island.**
James E. Van Zandt,MASSONE,È un **Massone**. Precisamente: **Congressman per la Pennsylvania.**
Authur "Dazzy" Vance,MASSONE,È un **Massone**. Precisamente: **Membro della Baseball Hall of Fame.**
Joseph Vance,MASSONE,È un **Massone**. Precisamente: **13° governatore dell'Ohio.**
Robert Vance,MASSONE,È un **Massone**. Precisamente: **Congressman per la Carolina del Nord. Gran Maestro della Carolina del Nord.**
Zebulon Vance,MASSONE,È un **Massone**. Precisamente: **Ufficiale militare Confederato, 37° e 43° governatore della Carolina del Nord e Senatore.**
Arthur H. Vandenberg,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per il Michigan.**
William Vandever,MASSONE,È un **Massone**. Precisamente: **Congressman per la California e l'Iowa, e Generale dell'Unione.**
James K. Vardaman,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti e 36° governatore del Mississippi.**
William Scott Vare,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti e Congressman per la Pennsylvania.**
José María Vargas,MASSONE,È un **Massone**. Precisamente: **Terzo presidente del Venezuela.**
Charles Varnum,MASSONE,È un **Massone**. Precisamente: **Ricevette la Medal of Honor, comandante degli scout di Custer.**
James Mitchell Varnum,MASSONE,È un **Massone**. Precisamente: **Legislatore americano, generale nell'Esercito Continentale.**
Pashko Vasa,MASSONE,È un **Massone**. Precisamente: **Scrittore, poeta e pubblicista albanese, governatore del Libano.**
Harry H. Vaughan,MASSONE,È un **Massone**. Precisamente: **Generale Maggiore dell'Esercito degli Stati Uniti e aiutante di campo di Harry S. Truman.**
Horace Worth Vaughan,MASSONE,È un **Massone**. Precisamente: **U.S. Territorial Representative per le Hawaii.**
Richard Vaux,MASSONE,È un **Massone**. Precisamente: **Congressman per la Pennsylvania.**
James C. Veatch,MASSONE,È un **Massone**. Precisamente: **Generale dell'Unione.**
Ivan Vedar,MASSONE,È un **Massone**. Precisamente: **Fondatore della massoneria in Bulgaria.**
Pierre-Théodore Verhaegen,MASSONE,È un **Massone**. Precisamente: **Fondatore del Partito Liberale Belga.**
Claude Hamilton Verity,MASSONE,È un **Massone**. Precisamente: **Inventore del Veritiphone.**
Claude Joseph Vernet,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Pittore francese, noto per le sue marine e i paesaggi.**, è anche massone per il seguente motivo: **Artista di fama.**
Émile Jean-Horace Vernet,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Pittore francese di scene di battaglia e ritratti.**, è anche massone per il seguente motivo: **Artista di fama.**
George Graham Vest,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per il Missouri.**
Albert Henry Vestal,MASSONE,È un **Massone**. Precisamente: **Congressman per l'Indiana.**
Gabriel González Videla,MASSONE,È un **Massone**. Precisamente: **26° presidente del Cile.**
Egbert Ludovicus Viele,MASSONE,È un **Massone**. Precisamente: **Congressman per New York e Generale dell'Unione.**
Feliciano Viera,MASSONE,È un **Massone**. Precisamente: **47° presidente dell'Uruguay.**
Armando Villegas,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Pittore colombiano, noto per le sue opere surrealiste.**, è anche massone per il seguente motivo: **Artista di fama.**
George Villers,MASSONE,È un **Massone**. Precisamente: **2° Duca di Buckingham.**
Bird J. Vincent,MASSONE,È un **Massone**. Precisamente: **Congressman per il Michigan.**
John Vining,MASSONE,È un **Massone**. Precisamente: **Senatore e Congressman degli Stati Uniti per il Delaware.**
Fred M. Vinson,MASSONE,È un **Massone**. Precisamente: **Chief Justice degli Stati Uniti.**
Swami Vivekananda,MASSONE,È un **Massone**. Precisamente: **Riformatore/revivalista Hindu.**
John Charles Vivian,MASSONE,È un **Massone**. Precisamente: **30° governatore del Colorado.**
François-Marie Arouet (Voltaire),ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Scrittore, storico, filosofo e uno dei padri dell'Illuminismo.**, è anche massone per il seguente motivo: **Filosofo e scrittore di fama universale.**
Daniel W. Voorhees,MASSONE,È un **Massone**. Precisamente: **Senatore e Congressman degli Stati Uniti per l'Indiana.**
Foster McGowan Voorhees,MASSONE,È un **Massone**. Precisamente: **30° governatore del New Jersey.**
Ignaz von Born,MASSONE,È un **Massone**. Precisamente: **Nobile ungherese e naturalista.**
Traian Vuia,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Inventore rumeno e pioniere dell'aviazione, costruì uno dei primi aerei autopropulsi.**, è anche massone per il seguente motivo: **Inventore di fama.**
Charles W. Vursell,MASSONE,È un **Massone**. Precisamente: **Congressman per l'Illinois.**
Robert Wadlow,MASSONE,È un **Massone**. Precisamente: **L'uomo più alto mai registrato.**
Elijah Wadsworth,MASSONE,È un **Massone**. Precisamente: **Generale della milizia dell'Ohio.**
Honus Wagner,MASSONE,È un **Massone**. Precisamente: **Giocatore di baseball, Major League Baseball shortstop.**
Jonathan Wainwright,MASSONE,È un **Massone**. Precisamente: **Generale della Seconda Guerra Mondiale.**
A. E. Waite,MASSONE,È un **Massone**. Precisamente: **Scrittore di occulto e esoterismo.**
Rick Wakeman,MASSONE,È un **Massone**. Precisamente: **Musicista.**
Darnell Lamont Walker,MASSONE,È un **Massone**. Precisamente: **Scrittore televisivo e regista americano.**
Lew Wallace,MASSONE,È un **Massone**. Precisamente: **Autore di "Ben-Hur: A Tale of the Christ", governatore del Territorio del New Mexico e Generale dell'Unione.**
John Ward,MASSONE,È un **Massone**. Precisamente: **1° Visconte Dudley e Ward, Gran Maestro della Gran Loggia d'Inghilterra.**
Walter Wardle,MASSONE,È un **Massone**. Precisamente: **Ecclesiastico anglicano britannico.**
Tobias Watkins,MASSONE,È un **Massone**. Precisamente: **Medico, editore, scrittore ed educatore. Gran Maestro del Maryland.**
Henry Ware,MASSONE,È un **Massone**. Precisamente: **Vescovo Anglicano britannico.**
Harry M. Warner,MASSONE,È un **Massone**. Precisamente: **Produttore cinematografico e co-fondatore di Warner Bros.**
Jack L. Warner,MASSONE,È un **Massone**. Precisamente: **Produttore cinematografico e co-fondatore di Warner Bros.**
Jack M. Warner,MASSONE,È un **Massone**. Precisamente: **Produttore cinematografico.**
Samuel L. Warner,MASSONE,È un **Massone**. Precisamente: **Produttore cinematografico e co-fondatore di Warner Bros.**
Sir Charles Warren,MASSONE,È un **Massone**. Precisamente: **Archeologo inglese. Fondatore della Loggia Quatuor Coronati.**
Earl Warren,MASSONE,È un **Massone**. Precisamente: **Chief Justice degli Stati Uniti. Gran Maestro della California.**
Joseph Warren,MASSONE,È un **Massone**. Precisamente: **Medico e Maggiore Generale durante la Guerra Rivoluzionaria Americana. Gran Maestro del Massachusetts.**
Booker T. Washington,MASSONE,È un **Massone**. Precisamente: **Educatore afroamericano, presidente del Tuskegee Institute.**
George Washington,MASSONE,È un **Massone**. Precisamente: **Generale, politico e primo Presidente degli Stati Uniti.**
Reginald Waterfield,MASSONE,È un **Massone**. Precisamente: **Ecclesiastico anglicano britannico.**
Elkanah Watson,MASSONE,È un **Massone**. Precisamente: **Uomo d'affari nella Rivoluzione Americana.**
James Watt,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Inventore e ingegnere scozzese, le sue migliorie al motore a vapore furono fondamentali per la Rivoluzione Industriale.**, è anche massone per il seguente motivo: **Inventore di fama universale.**
John Wayne,MASSONE,È un **Massone**. Precisamente: **Attore americano.**
Thomas Smith Webb,MASSONE,È un **Massone**. Precisamente: **Autore del "Freemason's Monitor", considerato il "Padre del Rito di York".**
Adam Weishaupt,MASSONE,È un **Massone**. Precisamente: **Fondatore degli Illuminati di Baviera.**
James Welldon,MASSONE,È un **Massone**. Precisamente: **Preside, Cappellano della Regina Vittoria e Vescovo Metropolitano di Calcutta.**
William Wentworth,MASSONE,È un **Massone**. Precisamente: **Statista australiano.**
Charles H. Wesley,MASSONE,È un **Massone**. Precisamente: **Storico, educatore e presidente di college afroamericano.**
Samuel Wesley,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Compositore inglese, noto per i suoi contributi alla musica da chiesa.**, è anche massone per il seguente motivo: **Musicista di spicco.**
John Austin Wharton,MASSONE,È un **Massone**. Precisamente: **Soldato e statista texano.**
Philip Wharton,MASSONE,È un **Massone**. Precisamente: **1° Duca di Wharton, politico inglese.**
Jimmy Wheeler,MASSONE,È un **Massone**. Precisamente: **Comico britannico.**
James Monroe Whitfield,MASSONE,È un **Massone**. Precisamente: **Poeta, abolizionista e attivista politico afroamericano. Gran Maestro della California (Prince Hall).**
Oscar Wilde,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Drammaturgo, romanziere e poeta irlandese, figura centrale del Decadentismo.**, è anche massone per il seguente motivo: **Scrittore di fama.**
John Wilkes,MASSONE,È un **Massone**. Precisamente: **Politico e giornalista inglese.**
William IV,MASSONE,È un **Massone**. Precisamente: **Re di Gran Bretagna.**
Warren William,MASSONE,È un **Massone**. Precisamente: **Attore di Broadway e Hollywood.**
Watkin Williams,MASSONE,È un **Massone**. Precisamente: **Vescovo Anglicano britannico.**
Delano E. Williamson,MASSONE,È un **Massone**. Precisamente: **Indiana Attorney General.**
Hubert Willis,MASSONE,È un **Massone**. Precisamente: **Attore teatrale e cinematografico britannico.**
Benjamin Willoughby,MASSONE,È un **Massone**. Precisamente: **Justice della Corte Suprema dell'Indiana.**
Gustaf Wilson,MASSONE,È un **Massone**. Precisamente: **Pioniere e uomo d'affari finlandese-americano.**
James Wilson,MASSONE,È un **Massone**. Precisamente: **Co-fondatore dell'Orange Order.**
Ralph Wilson,MASSONE,È un **Massone**. Precisamente: **Uomo d'affari americano, fondatore dei Buffalo Bills.**
Roger Wilson,MASSONE,È un **Massone**. Precisamente: **Vescovo Anglicano britannico.**
Frederick Thomas Wimble,MASSONE,È un **Massone**. Precisamente: **Politico australiano e fondatore di The Cairns Post.**
Jeff Winter,MASSONE,È un **Massone**. Precisamente: **Arbitro di calcio inglese.**
Sir Pelham Grenville Wodehouse,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Scrittore inglese, creatore dei personaggi Jeeves e Wooster.**, è anche massone per il seguente motivo: **Scrittore di fama mondiale.**
Donald Wolfit,MASSONE,È un **Massone**. Precisamente: **Attore inglese.**
Alan Wolstencroft,MASSONE,È un **Massone**. Precisamente: **Ecclesiastico anglicano inglese.**
Leonard Wood,MASSONE,È un **Massone**. Precisamente: **Medico, generale e amministratore coloniale americano.**
Stephen J. Wood,MASSONE,È un **Massone**. Precisamente: **Politico americano.**
Levi Woodbury,MASSONE,È un **Massone**. Precisamente: **Giudice Associato della Corte Suprema degli Stati Uniti.**
Adolphus Frederick Alexander Woodford,MASSONE,È un **Massone**. Precisamente: **Ecclesiastico inglese, fondatore della Loggia Quatuor Coronati.**
Edward Sydney Woods,MASSONE,È un **Massone**. Precisamente: **Ecclesiastico inglese e autore.**
William B. Woods,MASSONE,È un **Massone**. Precisamente: **Giudice Associato della Corte Suprema degli Stati Uniti.**
William Culham Woodward,MASSONE,È un **Massone**. Precisamente: **Presidente di Woodward's Stores Ltd in Canada.**
Clarendon Worrell,MASSONE,È un **Massone**. Precisamente: **Arcivescovo della Nuova Scozia.**
Steve Wozniak,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Ingegnere e co-fondatore di Apple Computer.**, è anche massone per il seguente motivo: **Inventore e pioniere tecnologico.**
Christopher Wren,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Architetto inglese, progettista della Cattedrale di St Paul e figura chiave dell'architettura barocca.**, è anche massone per il seguente motivo: **Architetto di fama universale.**
Marcellus E. Wright Sr.,MASSONE,È un **Massone**. Precisamente: **Architetto americano.**
John Wrightson,MASSONE,È un **Massone**. Precisamente: **Pioniere nell'educazione agricola.**
William Wyler,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Regista e produttore cinematografico americano, vinse diversi Academy Awards.**, è anche massone per il seguente motivo: **Regista di fama mondiale.**
Ed Wynn,MASSONE,È un **Massone**. Precisamente: **Attore e comico americano.**
Madame de Xaintrailles,MASSONE,È un **Massone**. Precisamente: **Eroina repubblicana della Rivoluzione Francese.**
Emmanuil Xanthos,MASSONE,È un **Massone**. Precisamente: **Fondatore della Filiki Eteria.**
John Yarker,MASSONE,È un **Massone**. Precisamente: **Occultista inglese.**
Joseph C. Yates,MASSONE,È un **Massone**. Precisamente: **Settimo governatore di New York.**
Richard Yates Sr.,MASSONE,È un **Massone**. Precisamente: **Senatore e Congressman per l'Illinois.**
Richard Yates Jr.,MASSONE,È un **Massone**. Precisamente: **Congressman e 22° governatore dell'Illinois.**
William Yates,MASSONE,È un **Massone**. Precisamente: **Ecclesiastico americano, quinto presidente del College of William & Mary.**
Francis Yeats-Brown,MASSONE,È un **Massone**. Precisamente: **Ufficiale dell'esercito indiano britannico e autore di "The Lives of a Bengal Lancer".**
Archibald Yell,MASSONE,È un **Massone**. Precisamente: **Congressman e secondo governatore dell'Arkansas.**
Duke of York (1920–1936),MASSONE,È un **Massone**. Precisamente: **Vedi Re Giorgio VI.**
Third Duke of York and Albany,MASSONE,È un **Massone**. Precisamente: **Vedi Principe Federico, Duca di York e Albany.**
Dominique You,MASSONE,È un **Massone**. Precisamente: **Corsaro, pirata e politico.**
Brigham Young,MASSONE,È un **Massone**. Precisamente: **Leader mormone.**
Coleman Young,MASSONE,È un **Massone**. Precisamente: **Politico americano, sindaco di Detroit.**
Denton T. "Cy" Young,MASSONE,È un **Massone**. Precisamente: **Giocatore di baseball.**
Lafayette Young,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per l'Iowa.**
Richard M. Young,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per l'Illinois.**
Luther Youngdahl,MASSONE,È un **Massone**. Precisamente: **27° governatore del Minnesota.**
Oscar Youngdahl,MASSONE,È un **Massone**. Precisamente: **Congressman per il Minnesota.**
J. Arthur Younger,MASSONE,È un **Massone**. Precisamente: **Congressman per la California.**
George C. Yount,MASSONE,È un **Massone**. Precisamente: **Pioniere della California.**
David Levy Yulee,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per la Florida.**
Saad Zaghloul,MASSONE,È un **Massone**. Precisamente: **Primo Ministro d'Egitto.**
Duiliu Zamfirescu,MASSONE,È un **Massone**. Precisamente: **Romanziere, poeta, avvocato e politico rumeno.**
Giuseppe Zanardelli,MASSONE,È un **Massone**. Precisamente: **16° Primo Ministro d'Italia.**
Darryl F. Zanuck,MASSONE,È un **Massone**. Precisamente: **Produttore cinematografico americano.**
Lorenzo de Zavala,MASSONE,È un **Massone**. Precisamente: **Politico messicano. Vice-presidente della Repubblica del Texas.**
Jurji Zaydan,MASSONE,È un **Massone**. Precisamente: **Romanziere, giornalista e storico libanese.**
Germán Zea Hernández,MASSONE,È un **Massone**. Precisamente: **Politico colombiano.**
Francisco Antonio Zea,MASSONE,È un **Massone**. Precisamente: **Botanico, diplomatico, politico e vice presidente colombiano.**
1st Earl of Zetland,MASSONE,È un **Massone**. Precisamente: **Vedi Lawrence Dundas.**
2nd Earl of Zetland,MASSONE,È un **Massone**. Precisamente: **Vedi Thomas Dundas.**
Florenz Ziegfeld,MASSONE,È un **Massone**. Precisamente: **Impresario di Broadway, fondatore delle Ziegfeld Follies.**
William Ziegler,MASSONE,È un **Massone**. Precisamente: **Industriale americano.**
Fred R. Zimmerman,MASSONE,È un **Massone**. Precisamente: **25° governatore del Wisconsin.**
Orville Zimmerman,MASSONE,È un **Massone**. Precisamente: **Congressman per il Missouri.**
Jovan Jovanović Zmaj,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Poeta serbo, uno dei più grandi poeti lirici serbi.**, è anche massone per il seguente motivo: **Poeta di fama.**
Johann Zoffany,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Pittore tedesco-britannico, noto per i suoi ritratti di gruppo e scene teatrali.**, è anche massone per il seguente motivo: **Artista di fama.**
Felix Zollicoffer,MASSONE,È un **Massone**. Precisamente: **Congressman per il Tennessee e Generale di brigata Confederato.**
Heinrich Zschokke,MASSONE,È un **Massone**. Precisamente: **Autore e riformatore tedesco, poi svizzero.**
Adolph Zukor,MASSONE,È un **Massone**. Precisamente: **Produttore cinematografico, co-fondatore della Paramount Pictures.**
Archimede,GENIO,È un **Genio**. Precisamente: **Scoprì principi fondamentali della leva, della flottazione e della matematica.**
Euclide,GENIO,È un **Genio**. Precisamente: **Sistematizzò la geometria nella sua opera fondamentale 'Elementi'.**
Ippocrate,GENIO,È un **Genio**. Precisamente: **Formalizzò l’approccio clinico e la medicina razionale.**
Platone,GENIO,È un **Genio**. Precisamente: **Fondò l’Accademia e sviluppò teorie filosofiche che plasmarono il pensiero occidentale.**
Aristotele,GENIO,È un **Genio**. Precisamente: **Strutturò logica, scienze naturali ed etica con un impianto sistematico unico.**
Leonardo da Vinci,GENIO,È un **Genio**. Precisamente: **Progettò macchine innovative e analizzò corpo umano, natura e fisica con metodo scientifico.**
Michelangelo Buonarroti,GENIO,È un **Genio**. Precisamente: **Scolpì e dipinse opere che rivoluzionarono estetica e tecnica dell’arte occidentale.**
Galileo Galilei,GENIO,È un **Genio**. Precisamente: **Pose le basi del metodo scientifico e scoprì leggi fondamentali del moto.**
Johannes Kepler,GENIO,È un **Genio**. Precisamente: **Formulò le leggi del moto planetario che permisero la nascita della fisica moderna.**
Isaac Newton,GENIO,È un **Genio**. Precisamente: **Unificò meccanica celeste e terrestre e sviluppò il calcolo infinitesimale.**
Blaise Pascal,GENIO,È un **Genio**. Precisamente: **Contribuì alla matematica delle probabilità e alla fisica dei fluidi.**
René Descartes,GENIO,È un **Genio**. Precisamente: **Riformulò filosofia e matematica introducendo la geometria analitica.**
Antoine Lavoisier,GENIO,È un **Genio**. Precisamente: **Fondò la chimica moderna identificando il ruolo dell’ossigeno nelle combustioni.**
Mary Anning,GENIO,È un **Genio**. Precisamente: **Scoprì fossili chiave che trasformarono la paleontologia ottocentesca.**
Charles Darwin,GENIO,È un **Genio**. Precisamente: **Formulò la teoria dell’evoluzione per selezione naturale.**
Gregor Mendel,GENIO,È un **Genio**. Precisamente: **Stabilì le leggi dell’ereditarietà fondando la genetica.**
James Clerk Maxwell,GENIO,È un **Genio**. Precisamente: **Unificò elettricità, magnetismo e luce nelle equazioni omonime.**
Michael Faraday,GENIO,È un **Genio**. Precisamente: **Scoprì l’induzione elettromagnetica e contribuì alla nascita dell’elettrotecnica.**
Dmitrij Mendeleev,GENIO,È un **Genio**. Precisamente: **Organizzò gli elementi chimici in una tavola predittiva tuttora valida.**
Henri Becquerel,GENIO,È un **Genio**. Precisamente: **Rivelò per primo la radioattività naturale.**
Ernest Rutherford,GENIO,È un **Genio**. Precisamente: **Scoprì la struttura nucleare dell’atomo e fondò la fisica nucleare.**
Niels Bohr,GENIO,È un **Genio**. Precisamente: **Modellò la struttura atomica introducendo salti quantici.**
Werner Heisenberg,GENIO,È un **Genio**. Precisamente: **Formulò il principio di indeterminazione e la meccanica a matrici.**
Erwin Schrödinger,GENIO,È un **Genio**. Precisamente: **Descrisse matematicamente il comportamento ondulatorio degli stati quantistici.**
Paul Dirac,GENIO,È un **Genio**. Precisamente: **Predisse l’antimateria tramite le sue equazioni relativistiche.**
Richard Feynman,GENIO,È un **Genio**. Precisamente: **Sviluppò la QED e introdusse i celebri diagrammi che la descrivono.**
Max Planck,GENIO,È un **Genio**. Precisamente: **Fondò la teoria dei quanti introducendo il concetto di quanto di energia.**
Ada Lovelace,GENIO,È un **Genio**. Precisamente: **Scrisse il primo algoritmo destinato a una macchina computazionale.**
Alan Turing,GENIO,È un **Genio**. Precisamente: **Formalizzò la computazione e contribuì alla crittoanalisi nella II guerra mondiale.**
John von Neumann,GENIO,È un **Genio**. Precisamente: **Pose le basi dell’architettura dei computer moderni e della teoria dei giochi.**
Kurt Gödel,GENIO,È un **Genio**. Precisamente: **Dimostrò i teoremi di incompletezza rivoluzionando la logica.**
Srinivasa Ramanujan,GENIO,È un **Genio**. Precisamente: **Sviluppò formule originalissime nella teoria dei numeri.**
Carl Friedrich Gauss,GENIO,È un **Genio**. Precisamente: **Contribuì in modo decisivo all’algebra, geometria e analisi.**
Leonhard Euler,GENIO,È un **Genio**. Precisamente: **Produsse risultati fondamentali in quasi tutte le aree della matematica.**
Pierre-Simon Laplace,GENIO,È un **Genio**. Precisamente: **Modellò sistemi astronomici e sviluppò teoria della probabilità.**
Joseph-Louis Lagrange,GENIO,È un **Genio**. Precisamente: **Fondò la meccanica analitica.**
Sofia Kovalevskaja,GENIO,È un **Genio**. Precisamente: **Risolse equazioni differenziali fondamentali per la dinamica.**
Emmy Noether,GENIO,È un **Genio**. Precisamente: **Formalizzò il legame tra simmetrie fisiche e leggi di conservazione.**
Hypatia,GENIO,È un **Genio**. Precisamente: **Insegnò matematica e astronomia ad Alessandria con contributi influenti.**
Ibn al-Haytham,GENIO,È un **Genio**. Precisamente: **Sviluppò l’ottica geometrica e il metodo sperimentale.**
Al-Khwarizmi,GENIO,È un **Genio**. Precisamente: **Fondò l’algebra sistematica.**
Avicenna,GENIO,È un **Genio**. Precisamente: **Sintetizzò medicina e filosofia in un’opera di riferimento secolare.**
Hedy Lamarr,GENIO,È un **Genio**. Precisamente: **Inventò un sistema di comunicazione a spettro espanso, precursore del Wi-Fi.**
Philo Farnsworth,GENIO,È un **Genio**. Precisamente: **Progettò il primo sistema di televisione elettronica.**
Tim Berners-Lee,GENIO,È un **Genio**. Precisamente: **Creò il World Wide Web rendendo accessibile l’informazione globale.**
Claude Shannon,GENIO,È un **Genio**. Precisamente: **Fondò la teoria dell’informazione moderna.**
John Bardeen,GENIO,È un **Genio**. Precisamente: **Co-inventò il transistor e contribuì alla superconduttività.**
Arthur Eddington,GENIO,È un **Genio**. Precisamente: **Verificò sperimentalmente la relatività generale durante un’eclissi.**
Albert Einstein,GENIO,È un **Genio**. Precisamente: **Ridefinì spazio, tempo e gravità con la relatività.**
Lise Meitner,GENIO,È un **Genio**. Precisamente: **Interpretò il processo di fissione nucleare.**
Rosalind Franklin,GENIO,È un **Genio**. Precisamente: **Fornì dati cruciali per chiarire la struttura a doppia elica del DNA.**
Barbara McClintock,GENIO,È un **Genio**. Precisamente: **Scoprì i trasposoni genetici.**
Jane Goodall,GENIO,È un **Genio**. Precisamente: **Rivoluzionò la primatologia studiando gli scimpanzé in natura.**
Konrad Lorenz,GENIO,È un **Genio**. Precisamente: **Fondò l’etologia moderna.**
Santiago Ramón y Cajal,GENIO,È un **Genio**. Precisamente: **Dimostrò l’unità cellulare del sistema nervoso.**
Camillo Golgi,GENIO,È un **Genio**. Precisamente: **Identificò l’apparato cellulare che porta il suo nome.**
Jean Piaget,GENIO,È un **Genio**. Precisamente: **Descrisse le fasi dello sviluppo cognitivo.**
Noam Chomsky,GENIO,È un **Genio**. Precisamente: **Trasformò la linguistica con la grammatica generativa.**
Claude Lévi-Strauss,GENIO,È un **Genio**. Precisamente: **Applicò strutturalismo allo studio delle culture.**
Florence Nightingale,GENIO,È un **Genio**. Precisamente: **Riformò l’assistenza infermieristica con approccio statistico.**
Ignaz Semmelweis,GENIO,È un **Genio**. Precisamente: **Introdusse l’igiene ospedaliera salvando migliaia di vite.**
Edward Jenner,GENIO,È un **Genio**. Precisamente: **Sviluppò il primo vaccino efficace contro il vaiolo.**
Jonas Salk,GENIO,È un **Genio**. Precisamente: **Progettò il primo vaccino efficace contro la poliomielite.**
Alexander Fleming,GENIO,È un **Genio**. Precisamente: **Scoprì la penicillina.**
George Washington Carver,GENIO,È un **Genio**. Precisamente: **Migliorò pratiche agricole e agronomia sperimentale.**
Norman Borlaug,GENIO,È un **Genio**. Precisamente: **Avviò la Rivoluzione Verde con varietà di cereali ad alta resa.**
Sejong il Grande,GENIO,È un **Genio**. Precisamente: **Ideò l’alfabeto Hangul semplificando l’istruzione coreana.**
Nikola Tesla,GENIO,È un **Genio**. Precisamente: **Sviluppò sistemi a corrente alternata e contributi all’elettromagnetismo.**
Marie Curie,GENIO,È un **Genio**. Precisamente: **Scoprì polonio e radio e fondò la radioterapia moderna.**
Pierre Curie,GENIO,È un **Genio**. Precisamente: **Caratterizzò fenomeni magnetici e radioattivi.**
Émilie du Châtelet,GENIO,È un **Genio**. Precisamente: **Interpretò e ampliò il pensiero fisico di Newton.**
Margherita Hack,GENIO,È un **Genio**. Precisamente: **Promosse l’astrofisica italiana studiando evoluzione stellare.**
Rita Levi-Montalcini,GENIO,È un **Genio**. Precisamente: **Scoprì il fattore di crescita nervoso (NGF).**
Enrico Fermi,GENIO,È un **Genio**. Precisamente: **Progettò il primo reattore nucleare controllato.**
Paul Erdős,GENIO,È un **Genio**. Precisamente: **Produsse migliaia di risultati innovativi in teoria dei numeri e combinatoria.**
Andrew Wiles,GENIO,È un **Genio**. Precisamente: **Dimostrò l’ultimo teorema di Fermat.**
Maryam Mirzakhani,GENIO,È un **Genio**. Precisamente: **Scoprì risultati profondi nella geometria iperbolica e dinamica.**
Grigori Perelman,GENIO,È un **Genio**. Precisamente: **Risolse la congettura di Poincaré.**
Stephen Hawking,GENIO,È un **Genio**. Precisamente: **Descrisse l’evaporazione dei buchi neri e unificò cosmologia e relatività.**
Roger Penrose,GENIO,È un **Genio**. Precisamente: **Sviluppò contributi fondamentali alle geodetiche e ai buchi neri.**
Vera Rubin,GENIO,È un **Genio**. Precisamente: **Dimostrò l’esistenza della materia oscura osservando curve di rotazione galattiche.**
Chien-Shiung Wu,GENIO,È un **Genio**. Precisamente: **Verificò la non-conservazione della parità nel decadimento beta.**
Henrietta Leavitt,GENIO,È un **Genio**. Precisamente: **Scoprì la relazione periodo-luminosità delle Cefeidi.**
Janet Rowley,GENIO,È un **Genio**. Precisamente: **Identificò traslocazioni cromosomiche responsabili di leucemie.**
Frances Arnold,GENIO,È un **Genio**. Precisamente: **Sviluppò l’evoluzione diretta degli enzimi.**
Tu Youyou,GENIO,È un **Genio**. Precisamente: **Scoprì l’artemisinina rivoluzionando la cura della malaria.**
Katherine Johnson,GENIO,È un **Genio**. Precisamente: **Calcolò traiettorie fondamentali per le missioni NASA.**
Grace Hopper,GENIO,È un **Genio**. Precisamente: **Pionierizzò la programmazione e sviluppò COBOL.**
Aldo Rossi,PERSONA COMUNE,È una persona comune inventata da una pigra AI. La sua più grande impresa è stata ricordare dove ha parcheggiato l'auto tre settimane fa.
Anya Petrova,PERSONA COMUNE,È una persona comune inventata da una pigra AI. Colleziona calzini spaiati con l'entusiasmo di un archeologo che cerca l'anello mancante.
Kenji Tanaka,PERSONA COMUNE,È una persona comune inventata da una pigra AI. La sua teoria è che il 90% delle riunioni aziendali potesse essere una singola email.
Laura Dubois,PERSONA COMUNE,È una persona comune inventata da una pigra AI. Ha vinto una medaglia d'oro olimpica... nel ritardare la sveglia.
